,Unnamed: 0,binding_site_name,enzyme_name,binding_site_ranking,mainclass,subclass,subsubclass,designation,atoms,dataset,dates,centers,uniq_fold,uniq_sub,uniq_subsub,uniq_designation
52,52,1,4CSC,1,4,1,3,7,1866,2020,07/05/1990,"(15.639, -9.854, 10.056)",2049,34,174,1015
53,53,1,3CSC,1,4,1,3,7,1876,2020,07/05/1990,"(15.562, -9.856, 10.064)",2049,34,174,1015
54,54,1,8CPP,1,1,14,15,1,2133,2020,18/05/1990,"(46.36, 44.164, 13.771)",1405,14,4,1577
55,55,1,5CPP,1,1,14,15,1,2131,2020,18/05/1990,"(46.277, 44.493, 14.001)",1405,14,4,1577
56,56,1,7CPP,1,1,14,15,1,2125,2020,18/05/1990,"(46.17, 43.987, 14.283)",1405,14,4,1577
57,57,1,6CPP,1,1,14,15,1,2140,2020,18/05/1990,"(46.297, 44.165, 13.69)",1405,14,4,1577
58,58,1,4CPP,1,1,14,15,1,2157,2020,18/05/1990,"(46.425, 44.069, 13.706)",1405,14,4,1577
59,59,1,5SGA,1,3,-,-,-,704,2020,29/05/1990,"(-22.573, 28.36, 21.173)",1443,26,34,630
60,60,1,4SGA,1,3,-,-,-,709,2020,29/05/1990,"(-22.556, 28.283, 21.272)",1443,26,34,630
61,61,1,4GPB,1,2,4,1,1,2481,2020,04/06/1990,"(32.969, 22.732, 27.406)",3100,46,193,1416
62,62,1,5GPB,1,2,4,1,1,1789,2020,04/06/1990,"(2.947, 27.921, 63.782)",3100,46,193,1416
63,63,1,3GPB,1,2,4,1,1,2481,2020,04/06/1990,"(32.767, 22.531, 27.205)",3100,46,193,1416
64,64,1,2GPB,1,2,4,1,1,2222,2020,04/06/1990,"(27.24, 27.24, 58.15)",3100,46,193,1416
65,65,1,7EST,1,3,4,21,36,1234,2020,15/06/1990,"(14.146, 48.147, -1.156)",4437,24,158,2541
66,66,1,7HVP,1,3,4,23,16,918,2020,13/09/1990,"(2.081, 6.274, 4.651)",1502,24,96,1093
67,67,1,8XIA,1,5,3,1,5,2632,2020,11/10/1990,"(47.1, 50.1, 51.6)",2713,40,40,1556
68,68,1,7ENL,1,4,2,1,11,2512,2020,13/11/1990,"(85.012, 36.988, 33.5)",1456,57,267,1273
69,69,1,6ENL,1,4,2,1,11,2406,2020,13/11/1990,"(86.24, 37.86, 33.45)",1456,57,267,1273
70,70,1,5ENL,1,4,2,1,11,2424,2020,13/11/1990,"(86.604, 37.496, 33.45)",1456,57,267,1273
71,71,1,8GPB,1,2,4,1,1,1420,2020,13/11/1990,"(29.514, -1.882, 53.435)",3100,46,193,1416
72,72,1,2SAR,1,3,1,27,3,821,2020,13/12/1990,"(55.477, 9.622, 20.696)",1518,63,192,1608
73,73,1,2XIS,1,5,3,1,5,2672,2020,25/03/1991,"(0.0, 49.985, 51.985)",2713,40,40,1556
74,74,1,3XIS,1,5,3,1,5,2523,2020,25/03/1991,"(12.561, 32.955, 45.95)",2713,40,40,1556
75,75,1,4XIS,1,5,3,1,5,2566,2020,25/03/1991,"(12.224, 32.723, 45.877)",2713,40,40,1556
76,76,1,2SNM,1,3,1,31,1,974,2020,03/04/1991,"(4.233, 15.152, 23.784)",4580,63,16,706
77,77,1,1FKF,1,5,2,1,8,1218,2020,07/05/1991,"(26.252, 26.252, 27.825)",1384,77,51,1974
78,78,1,8CPA,1,3,4,17,1,1592,2020,21/05/1991,"(46.015, 21.434, 37.776)",1438,24,21,1148
79,79,1,7CPA,1,3,4,17,1,1515,2020,21/05/1991,"(49.856, 17.712, 36.23)",1438,24,21,1148
80,80,1,1XIM,1,5,3,1,5,2612,2020,29/05/1991,"(13.243, 53.114, 186.507)",2713,40,40,1556
81,81,1,2XIM,1,5,3,1,5,2617,2020,29/05/1991,"(13.091, 53.274, 186.657)",2713,40,40,1556
82,82,1,3XIM,1,5,3,1,5,2592,2020,29/05/1991,"(32.4, 42.062, 170.164)",2713,40,40,1556
83,83,1,3CP4,1,1,14,15,1,2122,2020,04/06/1991,"(46.207, 43.592, 14.387)",1405,14,4,1577
84,84,1,4CP4,1,1,14,15,1,2129,2020,04/06/1991,"(46.263, 44.205, 13.801)",1405,14,4,1577
85,85,1,2CP4,1,1,14,15,1,2144,2020,04/06/1991,"(46.096, 44.222, 14.019)",1405,14,4,1577
86,86,1,421P,1,3,6,5,2,1598,2020,06/06/1991,"(17.461, 30.243, 0.0)",2762,55,201,2598
87,87,1,721P,1,3,6,5,2,1606,2020,06/06/1991,"(17.327, 30.011, -0.0)",2762,55,201,2598
88,88,1,121P,1,3,6,5,2,1604,2020,06/06/1991,"(17.353, 30.056, -0.0)",2762,55,201,2598
89,89,1,621P,1,3,6,5,2,1608,2020,06/06/1991,"(17.474, 30.265, 0.0)",2762,55,201,2598
90,90,1,221P,1,3,6,5,2,1604,2020,06/06/1991,"(17.418, 30.168, 0.0)",2762,55,201,2598
91,91,1,2TSC,1,2,1,1,45,1676,2020,03/07/1991,"(14.459, 14.844, 34.813)",3859,50,269,578
92,92,1,2PK4,1,3,-,-,-,617,2020,18/07/1991,"(2.794, -1.852, 0.453)",1441,26,34,630
93,93,1,7RNT,1,3,1,27,3,739,2020,20/08/1991,"(21.665, 11.282, -0.538)",1430,63,192,1608
94,94,1,6RNT,1,3,1,27,3,745,2020,20/08/1991,"(21.453, 11.576, -0.598)",1430,63,192,1608
95,95,1,2TPR,1,1,6,4,8,1969,2020,22/08/1991,"(42.895, 20.8, -0.603)",2381,28,66,345
96,96,1,4Q21,1,3,6,5,2,986,2020,25/09/1991,"(60.234, 76.231, 52.437)",2762,55,201,2598
97,97,1,2Q21,1,3,6,5,2,1602,2020,25/09/1991,"(41.6, 16.994, 26.275)",2762,55,201,2598
98,98,1,1Q21,1,3,6,5,2,1600,2020,25/09/1991,"(41.6, 17.0, 26.275)",2762,55,201,2598
99,99,1,4PHV,1,3,4,23,16,779,2020,04/10/1991,"(14.169, 45.054, 11.918)",1502,24,96,1093
100,100,1,1XLD,1,5,3,1,5,2589,2020,09/10/1991,"(42.405, 37.986, 0.959)",2713,40,40,1556
101,101,1,1XLC,1,5,3,1,5,2607,2020,09/10/1991,"(42.332, 37.894, 1.264)",2713,40,40,1556
102,102,1,1XLI,1,5,3,1,5,2559,2020,09/10/1991,"(42.901, 37.335, 0.911)",2713,40,40,1556
103,103,1,1XLJ,1,5,3,1,5,2569,2020,09/10/1991,"(42.503, 38.091, 1.113)",2713,40,40,1556
104,104,1,1XLG,1,5,3,1,5,2588,2020,09/10/1991,"(42.192, 37.922, 1.175)",2713,40,40,1556
105,105,1,1XLF,1,5,3,1,5,2530,2020,09/10/1991,"(44.163, 38.103, 0.813)",2713,40,40,1556
106,106,1,1RND,1,3,1,27,5,907,2020,21/10/1991,"(35.578, 11.317, 10.059)",2296,63,192,1337
107,107,1,1RNC,1,3,1,27,5,923,2020,21/10/1991,"(35.222, 11.236, 9.356)",2296,63,192,1337
108,108,1,1PPH,1,3,4,21,4,1197,2020,24/10/1991,"(-3.125, 5.015, 22.93)",4437,24,158,2942
109,109,1,1PPC,1,3,4,21,4,1168,2020,24/10/1991,"(-2.509, 4.979, 24.152)",4437,24,158,2942
110,110,1,1CBX,1,3,4,17,1,1760,2020,31/10/1991,"(-2.175, 29.682, -9.391)",1438,24,21,1148
111,111,1,1DRA,1,1,5,1,3,1452,2020,06/11/1991,"(19.723, 62.503, 24.839)",16,15,45,2511
112,112,1,1DRB,1,1,5,1,3,1442,2020,06/11/1991,"(19.744, 62.482, 24.657)",16,15,45,2511
113,113,1,1LDN,1,1,1,1,27,1892,2020,19/11/1991,"(6.962, 11.82, 1.436)",4035,29,191,2816
114,114,1,9LDB,1,1,1,1,27,1894,2020,26/11/1991,"(-3.109, 26.627, 15.331)",4035,29,191,2816
115,115,1,9LDT,1,1,1,1,27,1907,2020,26/11/1991,"(-2.967, 26.52, 15.513)",4035,29,191,2816
116,116,1,1RMS,1,3,1,27,3,763,2020,02/12/1991,"(29.97, 37.7, 31.545)",1600,63,192,1608
117,117,1,9AAT,1,2,6,1,1,2409,2020,02/12/1991,"(9.801, 12.566, 38.023)",1415,37,80,2941
118,118,1,1RNE,1,3,4,23,15,2162,2020,12/12/1991,"(12.193, 12.193, 54.7)",1444,24,96,2325
119,119,1,1GKY,1,2,7,4,8,1321,2020,23/12/1991,"(27.946, 40.174, 71.016)",3047,23,213,146
120,120,1,1HEW,1,3,2,1,17,883,2020,20/01/1992,"(5.125, 24.628, 27.011)",4998,44,178,2835
121,121,1,1L84,1,3,2,1,17,961,2020,21/01/1992,"(26.878, 5.94, 4.074)",1435,44,178,2835
122,122,1,1L83,1,3,2,1,17,973,2020,21/01/1992,"(26.929, 6.158, 4.216)",1435,44,178,2835
123,123,1,1AMA,1,2,6,1,1,2446,2020,05/02/1992,"(34.85, 13.495, 32.125)",1415,37,80,2941
124,124,1,1HIV,1,3,4,23,16,1323,2020,12/02/1992,"(5.507, -0.926, 12.861)",1502,24,96,1093
125,125,1,1CPS,1,3,4,17,1,1755,2020,18/02/1992,"(-2.206, 29.872, -8.563)",1438,24,21,1148
126,126,1,1RGK,1,3,1,27,3,732,2020,19/02/1992,"(21.508, 11.514, -0.725)",1430,63,192,1608
127,127,1,1RGL,1,3,1,27,3,737,2020,19/02/1992,"(21.789, 11.275, -0.689)",1430,63,192,1608
128,128,1,1SMR,1,3,4,23,15,1323,2020,11/03/1992,"(32.141, 84.05, -3.295)",1444,24,96,2325
129,129,1,1DHR,1,1,5,1,34,1977,2020,30/03/1992,"(25.05, 46.064, 16.233)",4371,15,45,525
130,130,1,8XIM,1,5,3,1,5,2607,2020,01/04/1992,"(13.227, 53.337, 186.71)",2713,40,40,1556
131,131,1,9XIM,1,5,3,1,5,2606,2020,03/04/1992,"(13.141, 53.25, 186.682)",2713,40,40,1556
132,132,1,6XIM,1,5,3,1,5,2609,2020,03/04/1992,"(13.267, 53.226, 186.559)",2713,40,40,1556
133,133,1,2XIN,1,5,3,1,5,2604,2020,06/04/1992,"(12.691, 53.375, 186.902)",2713,40,40,1556
134,134,1,1XIN,1,5,3,1,5,2607,2020,06/04/1992,"(13.154, 53.134, 186.664)",2713,40,40,1556
135,135,1,5XIN,1,5,3,1,5,2595,2020,06/04/1992,"(13.311, 53.088, 186.648)",2713,40,40,1556
136,136,1,1AAQ,1,3,4,23,16,1337,2020,13/04/1992,"(-9.665, 16.179, 1.86)",1502,24,96,1093
137,137,1,1CDE,1,2,1,2,2,1419,2020,15/05/1992,"(4.102, -4.469, 6.949)",2773,50,251,1603
138,138,1,1DIE,1,5,3,1,5,2562,2020,04/06/1992,"(42.772, 37.444, 1.024)",2713,40,40,1556
139,139,1,1DID,1,5,3,1,5,2514,2020,04/06/1992,"(42.013, 36.26, 2.273)",2713,40,40,1556
140,140,1,1LLD,1,1,1,1,27,1765,2020,08/06/1992,"(25.039, 75.853, 14.032)",4035,29,191,2816
141,141,1,2DRC,1,1,5,1,3,1446,2020,10/06/1992,"(19.738, 62.388, 24.894)",16,15,45,2511
142,142,1,1TYD,1,6,1,1,1,1806,2020,06/07/1992,"(4.178, 7.236, -0.0)",1458,2,127,1681
143,143,1,1TYB,1,6,1,1,1,1814,2020,06/07/1992,"(4.178, 7.236, 0.0)",1458,2,127,1681
144,144,1,1PHE,1,1,14,15,1,2081,2020,27/07/1992,"(46.063, 44.46, 15.673)",1405,14,4,1577
145,145,1,6Q21,1,3,6,5,2,1023,2020,27/07/1992,"(4.905, 34.232, 92.036)",2762,55,201,2598
146,146,1,2BAT,1,3,2,1,18,2511,2020,10/08/1992,"(69.8, 69.8, 64.956)",3372,44,178,1459
147,147,1,1RAA,1,2,1,3,2,955,2020,14/08/1992,"(12.101, 82.162, 25.934)",1515,50,1,939
148,148,1,1RAI,1,2,1,3,2,915,2020,14/08/1992,"(28.506, 94.997, 43.713)",1515,50,1,939
149,149,1,1RAE,1,2,1,3,2,954,2020,14/08/1992,"(12.051, 82.223, 25.957)",1515,50,1,939
150,150,1,1RAF,1,2,1,3,2,953,2020,14/08/1992,"(12.01, 82.234, 26.004)",1515,50,1,939
151,151,1,1RAH,1,2,1,3,2,957,2020,14/08/1992,"(12.018, 82.347, 25.956)",1515,50,1,939
152,152,1,1RAC,1,2,1,3,2,948,2020,14/08/1992,"(12.03, 82.262, 25.97)",1515,50,1,939
153,153,1,1RAB,1,2,1,3,2,955,2020,14/08/1992,"(12.045, 82.229, 25.958)",1515,50,1,939
154,154,1,1RAG,1,2,1,3,2,960,2020,14/08/1992,"(12.09, 82.313, 25.94)",1515,50,1,939
155,155,1,1RAD,1,2,1,3,2,953,2020,14/08/1992,"(12.058, 82.286, 25.972)",1515,50,1,939
156,156,1,1SHA,1,2,7,1,112,846,2020,18/08/1992,"(51.301, 29.587, -5.57)",1779,23,148,1953
157,157,1,1GAL,1,1,1,3,4,2407,2020,27/08/1992,"(32.65, 6.954, 57.554)",2879,29,47,2703
158,158,1,1POC,1,3,1,1,4,1561,2020,07/09/1992,"(44.75, 44.75, 23.14)",4956,63,97,69
159,159,1,2AAD,1,3,1,27,3,1044,2020,15/09/1992,"(28.142, 18.595, 19.121)",1430,63,192,1608
160,160,1,2BBQ,1,2,1,1,45,1443,2020,16/09/1992,"(13.648, 10.654, 37.287)",3859,50,269,578
161,161,1,1HEG,1,3,4,23,16,1349,2020,21/09/1992,"(-9.556, 16.551, 28.08)",1502,24,96,1093
162,162,1,3DRC,1,1,5,1,3,1452,2020,22/09/1992,"(19.659, 62.696, 24.89)",16,15,45,2511
163,163,1,1GMP,1,3,1,27,3,825,2020,01/10/1992,"(54.789, 9.999, 21.071)",1518,63,192,1608
164,164,1,1GMR,1,3,1,27,3,821,2020,01/10/1992,"(54.84, 10.062, 21.137)",1518,63,192,1608
165,165,1,1CRA,1,4,2,1,1,1862,2020,21/10/1992,"(-5.005, 0.762, 16.506)",97,57,267,46
166,166,1,1BMD,1,1,1,1,37,1821,2020,10/11/1992,"(23.33, 24.927, 24.987)",1774,29,191,1198
167,167,1,1GRF,1,1,8,1,7,2405,2020,15/12/1992,"(81.85, 36.101, 19.106)",2381,17,246,1576
168,168,1,1GRG,1,1,8,1,7,2399,2020,15/12/1992,"(81.849, 36.101, 19.121)",2381,17,246,1576
169,169,1,1GRE,1,1,8,1,7,1885,2020,15/12/1992,"(60.748, 51.104, 19.074)",2381,17,246,1576
170,170,1,1GRA,1,1,8,1,7,1893,2020,15/12/1992,"(60.704, 51.033, 19.083)",2381,17,246,1576
171,171,1,1GRB,1,1,8,1,7,1940,2020,15/12/1992,"(66.115, 55.036, 18.311)",2381,17,246,1576
172,172,1,1BRA,1,3,4,21,4,1712,2020,17/12/1992,"(0.0, 49.472, 62.2)",4437,24,158,2942
173,173,1,1ADD,1,3,5,4,4,2107,2020,22/12/1992,"(5.222, 19.244, 37.446)",1482,21,167,860
174,174,1,1ATP,1,2,7,11,11,1953,2020,08/01/1993,"(10.506, 9.569, 1.503)",2753,23,75,3020
175,175,1,1DOG,1,3,2,1,3,1511,2020,12/01/1993,"(33.248, 18.169, 3.603)",2780,44,178,2372
176,176,1,1ACO,1,4,2,1,3,2617,2020,17/01/1993,"(35.976, 34.542, 71.908)",3702,57,267,1031
177,177,1,1NIS,1,4,2,1,3,2611,2020,17/01/1993,"(36.121, 34.242, 71.647)",3702,57,267,1031
178,178,1,1FUT,1,3,1,27,3,742,2020,18/01/1993,"(0.237, 15.474, 12.953)",1430,63,192,1608
179,179,1,1PEK,1,3,4,21,64,1540,2020,19/01/1993,"(-18.969, 15.175, 11.732)",1535,24,158,2410
180,180,1,1SPA,1,2,6,1,1,2468,2020,26/01/1993,"(24.637, 0.0, 0.0)",1415,37,80,2941
181,181,1,1BDM,1,1,1,1,37,1741,2020,16/02/1993,"(23.227, 25.549, 24.951)",1774,29,191,1198
182,182,1,1STY,1,3,1,31,1,980,2020,18/02/1993,"(3.976, 15.13, 23.665)",4580,63,16,706
183,183,1,1IVP,1,3,4,23,47,1249,2020,18/03/1993,"(1.211, 16.419, 20.871)",1502,24,96,2974
184,184,1,1EMD,1,1,1,1,37,1862,2020,25/03/1993,"(8.623, -8.014, 9.588)",3691,29,191,1198
185,185,1,1GPY,1,2,4,1,1,2297,2020,31/03/1993,"(15.186, 15.186, 58.15)",3100,46,193,1416
186,186,1,2CTC,1,3,4,17,1,1745,2020,02/04/1993,"(-1.953, 29.711, -10.325)",1438,24,21,1148
187,187,1,1HOS,1,3,4,23,16,1354,2020,06/04/1993,"(-9.161, 15.883, 27.736)",1502,24,96,1093
188,188,1,1HPG,1,3,4,21,82,756,2020,28/04/1993,"(33.29, 4.115, -4.786)",3188,24,158,2355
189,189,1,1TYS,1,2,1,1,45,1646,2020,07/05/1993,"(28.161, -21.973, 40.247)",3859,50,269,578
190,190,1,1RGC,1,3,1,27,3,1036,2020,12/05/1993,"(28.577, 18.77, 19.034)",1430,63,192,1608
191,191,1,1RBL,1,4,1,1,39,2690,2020,12/05/1993,"(113.825, 42.451, 21.008)",3934,34,94,295
192,192,1,1RDS,1,3,1,27,3,752,2020,14/05/1993,"(32.086, 42.382, 32.174)",1600,63,192,1608
193,193,1,2GST,1,2,5,1,18,542,2020,07/06/1993,"(39.526, 29.639, 7.778)",2709,54,159,2814
194,194,1,3GST,1,2,5,1,18,1887,2020,07/06/1993,"(23.171, 12.35, 12.186)",2709,54,159,2814
195,195,1,1RGA,1,3,1,27,3,689,2020,07/06/1993,"(22.062, 44.68, 20.47)",1430,63,192,1608
196,196,1,3COX,1,1,1,3,6,2432,2020,14/06/1993,"(-16.3, 10.627, 19.483)",1819,29,47,1210
197,197,1,1COY,1,1,1,3,6,2433,2020,14/06/1993,"(-16.33, 10.53, 19.248)",1819,29,47,1210
198,198,1,3ECA,1,3,5,1,1,2069,2020,02/07/1993,"(76.324, 15.622, 34.203)",1448,21,273,2798
199,199,1,1TRQ,1,3,1,27,3,1031,2020,06/07/1993,"(28.195, 18.816, 18.778)",1430,63,192,1608
200,200,1,1CHM,1,3,5,3,3,2576,2020,19/07/1993,"(43.451, 82.166, 47.31)",2371,21,249,1952
201,201,1,5GST,1,2,5,1,18,765,2020,20/07/1993,"(20.965, 28.017, 42.88)",2709,54,159,2814
202,202,1,4GST,1,2,5,1,18,1208,2020,20/07/1993,"(18.474, 7.144, 37.472)",2709,54,159,2814
203,203,1,1ART,1,2,6,1,1,2452,2020,02/08/1993,"(24.493, 0.0, -0.0)",1415,37,80,2941
204,204,1,1ATS,1,3,6,1,3,1849,2020,09/08/1993,"(20.592, 34.964, 15.893)",4093,55,228,2822
205,205,1,1ATR,1,3,6,1,3,1842,2020,09/08/1993,"(20.465, 35.09, 16.458)",4093,55,228,2822
206,206,1,1HDR,1,1,5,1,34,1977,2020,18/08/1993,"(25.325, 45.983, 16.253)",4371,15,45,525
207,207,1,1ROB,1,3,1,27,5,950,2020,23/08/1993,"(32.095, 14.288, 7.888)",2296,63,192,1337
208,208,1,2OHX,1,1,1,1,1,1883,2020,24/08/1993,"(0.122, 15.514, 15.196)",5266,29,191,2286
209,209,1,1SIV,1,3,4,23,16,1332,2020,24/08/1993,"(3.167, 11.368, 40.196)",1502,24,96,1093
210,210,1,1EFT,1,3,1,5,1,1322,2020,24/08/1993,"(105.428, 6.257, 37.435)",1727,63,160,725
211,211,1,1ASA,1,2,6,1,1,2460,2020,27/08/1993,"(-133.326, 0.0, 78.2)",1415,37,80,2941
212,212,1,1ASD,1,2,6,1,1,2422,2020,27/08/1993,"(-133.672, 0.0, 78.48)",1415,37,80,2941
213,213,1,1ASC,1,2,6,1,1,2456,2020,27/08/1993,"(132.363, 42.5, 39.3)",1415,37,80,2941
214,214,1,1BCD,1,4,2,1,1,1875,2020,31/08/1993,"(-5.912, 1.387, 16.824)",97,57,267,46
215,215,1,8TLN,1,3,4,24,27,1697,2020,01/09/1993,"(37.103, 42.31, -2.67)",1445,24,265,1772
216,216,1,2DHC,1,3,8,1,5,1792,2020,08/09/1993,"(28.772, 105.068, 30.568)",2042,47,261,2908
217,217,1,1MAQ,1,2,6,1,1,2426,2020,10/09/1993,"(35.0, 13.743, 32.225)",1415,37,80,2941
218,218,1,1MAP,1,2,6,1,1,2422,2020,10/09/1993,"(35.1, 13.6, 32.45)",1415,37,80,2941
219,219,1,1ASM,1,2,6,1,1,2285,2020,16/09/1993,"(-10.069, 55.1, 24.34)",1415,37,80,2941
220,220,1,1LRA,1,3,1,27,3,755,2020,01/10/1993,"(3.001, -1.865, 17.67)",1430,63,192,1608
221,221,1,1HDX,1,1,1,1,1,1957,2020,15/10/1993,"(1.854, 3.251, -28.156)",5266,29,191,2286
222,222,1,1HNA,1,2,5,1,18,2321,2020,15/10/1993,"(0.0, 22.928, 17.635)",2709,54,159,2814
223,223,1,1HDZ,1,1,1,1,1,1910,2020,15/10/1993,"(-7.503, 11.306, -30.842)",5266,29,191,2286
224,224,1,1HDY,1,1,1,1,1,1977,2020,15/10/1993,"(-5.675, 10.446, -29.769)",5266,29,191,2286
225,225,1,2TMD,1,1,5,99,7,1737,2020,15/10/1993,"(66.597, 2.007, 3.759)",1903,15,129,639
226,226,1,1CIM,1,4,2,1,1,1733,2020,20/10/1993,"(-4.549, 3.752, 14.841)",97,57,267,46
