enzyme_name,centers,plddt_res,plddt_atom,representative,enzyme_class,mainclass,subclass,subsubclass,designation,uniq_designation,uniq_fold,hierarchical
AF_P22216,"(0.4548, -3.2084, 3.1587)",72.85925700365408,73.56577887890987,P22216,2.7.12.1,2,7,12,1,1670,224,13
AF_B2IN18,"(-7.4154, -4.6568, -1.3768)",94.3323205741627,94.4856580125336,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_B0R5J9,"(-4.9657, 1.794, -1.3336)",97.71686746987952,97.69202763496143,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q812X2,"(-1.9187, 7.8479, -14.6652)",95.39836065573768,95.51007117437722,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_A5ILE6,"(8.9328, -1.5409, -12.4634)",94.4590438247012,94.43385741718676,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_B2VBD1,"(5.4715, -4.3627, 1.3765)",96.2526388888889,96.35708391284192,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_B2VBD1,"(5.4715, -4.3627, 1.3765)",96.2526388888889,96.35708391284192,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q2JK64,"(1.34, 3.9119, 8.0205)",90.95290123456788,91.04180801301608,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_A7NCA4,"(-4.7402, 7.0801, 4.0759)",91.72164227642276,91.70780631578948,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_O76411,"(22.2648, 24.1919, -13.3334)",64.77966924700915,64.6793334518308,O76411,2.7.10.1,2,7,10,1,1646,317,4
AF_Q5FA59,"(8.3798, 3.1878, -7.0072)",95.56124497991968,95.61505629477996,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q2UMQ5,"(2.2256, -5.0711, 0.5887)",76.55855731225296,77.7723209936678,Q5XI06,2.3.1.48,2,3,1,48,1211,323,18
AF_Q3AND8,"(-3.0253, 1.4588, -7.2714)",86.4385632183908,86.64591185410335,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_A3D480,"(-6.2658, -7.4541, -0.0464)",86.64960975609755,87.03793781725889,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q9FIU7,"(5.4271, 5.5402, -3.9767)",91.01059813084112,90.99278518859246,Q7XKV5,3.2.1.21,3,2,1,21,2112,351,12
AF_Q54BC9,"(-10.461, 3.6091, 0.8408)",60.38097267759562,62.34537045092069,A8WJR8,2.7.12.1,2,7,12,1,1670,367,13
AF_Q9XI96,"(5.3596, -0.3417, -4.1682)",65.80187410586551,66.66868849320313,Q9ZNQ8,2.7.11.1,2,7,11,1,1648,371,1
AF_Q5QVN9,"(-16.2676, -2.5869, 34.079)",88.43280092592593,88.70302476415094,Q0AC82,5.2.1.8,5,2,1,8,3108,376,9
AF_Q0BCE0,"(1.5223, 10.8152, -9.6097)",89.87970779220781,91.15952074103907,A9B4J6,1.13.11.11,1,13,11,11,254,378,19
AF_P0CW89,"(-8.0779, -1.3734, 3.3824)",92.02,92.30751722440944,P0CW89,6.1.1.6,6,1,1,6,3256,405,15
AF_A3QEP4,"(-1.0394, -3.5789, 4.643)",86.77809756097562,86.86711392405064,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_P38991,"(-2.2667, 6.7483, -13.2632)",76.61534059945505,76.91017201455509,P38991,2.7.11.1,2,7,11,1,1648,413,1
AF_Q9NGW9,"(-11.3413, 6.5607, 11.4998)",64.68609243697479,65.70960281639285,Q55CE0,2.7.11.1,2,7,11,1,1648,414,1
AF_Q4WWE9,"(-0.162, 4.2724, 6.7201)",80.85107416879796,81.02441755404969,Q5AD67,3.6.4.12,3,6,4,12,2641,430,0
AF_Q5HF79,"(-3.7638, -4.2142, -5.5573)",96.30137440758295,96.52965475099296,D4GU92,1.1.1.42,1,1,1,42,126,436,20
AF_Q6FQQ6,"(-7.3868, 9.1313, -5.9943)",88.05217171717173,88.29968839427663,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_Q9A0V7,"(10.2214, -0.9922, -12.9426)",95.01342052313883,95.01453313253012,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_O02640,"(-2.4372, -4.5515, -9.8942)",91.9724633431085,92.1251273756571,P83778,1.1.1.37,1,1,1,37,110,458,21
AF_Q8U7G6,"(6.725, -3.0398, -7.3952)",97.94676605504586,97.96657027183343,A1A0H0,5.3.1.5,5,3,1,5,3131,475,22
AF_B7JQ66,"(34.7923, 2.508, -2.6111)",92.58376470588234,92.63868413128574,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_A8AW32,"(5.8148, 1.1346, 2.5256)",96.77647887323944,96.78084949215145,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A8AW32,"(5.8148, 1.1346, 2.5256)",96.77647887323944,96.78084949215145,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A2S924,"(6.6089, 6.7537, -5.5434)",90.63898692810456,91.59204056795132,A9B4J6,1.13.11.11,1,13,11,11,254,378,19
AF_P29390,"(-8.6264, -4.1646, 1.8879)",85.89111111111112,87.76549360613811,Q8H1T3,1.16.3.1,1,16,3,1,503,492,23
AF_Q8LBW2,"(2.6853, -0.1379, 13.321)",67.53026086956523,68.47160940325497,Q8LBW2,3.4.19.12,3,4,19,12,2254,500,24
AF_Q9BPW5,"(2.8224, 6.1555, -5.4369)",79.20487903225806,79.8462487046632,A1DZY4,3.6.5.2,3,6,5,2,2650,502,25
AF_B0BSL4,"(2.3661, 6.8032, 2.7637)",97.8340380047506,97.84590543881336,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_B7M3I8,"(2.8063, 1.4817, -10.7195)",97.90520454545457,97.9003958986044,A1A0H0,5.3.1.5,5,3,1,5,3131,475,22
AF_Q98R01,"(-22.9604, -24.3012, -4.1693)",90.31527233115467,90.57401122394442,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_Q1BA64,"(3.8545, -1.0858, -7.9184)",97.8162781954887,97.87759529411764,Q6QGJ5,2.1.1.45,2,1,1,45,1044,547,26
AF_C0RHQ0,"(3.3, -1.7194, -9.7778)",97.91050574712644,97.94516315333529,A1A0H0,5.3.1.5,5,3,1,5,3131,475,22
AF_A1B3B3,"(2.3894, 0.1396, -1.2023)",90.74461352657006,91.23580382325292,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_Q634C3,"(-12.5263, 10.3811, 3.2386)",87.38370731707315,87.35071384990849,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_P07798,"(4.2189, -1.6574, 1.1379)",96.5022159090909,96.65397099447512,P25320,1.16.3.1,1,16,3,1,503,566,23
AF_A7HUZ8,"(2.9764, 2.5977, 5.406)",89.39161931818181,89.60034379671151,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_Q3ZJ12,"(-11.2055, 15.118, 1.6234)",94.65545454545456,94.7553133159269,Q6L377,3.4.21.92,3,4,21,92,2314,576,11
AF_C0RFH2,"(2.2347, 3.4948, 7.4548)",96.80696875,96.83304145516074,Q838C9,1.1.1.37,1,1,1,37,110,529,21
AF_Q165F9,"(-14.304, -4.4618, 4.3978)",93.19413461538464,93.00394671623296,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_O14019,"(-17.2753, 2.0739, 0.6546)",66.56149371069182,68.08815181518152,P25333,2.7.11.1,2,7,11,1,1648,605,1
AF_Q3IPX0,"(13.6649, -0.7283, -6.9926)",92.08821167883212,92.2023721042471,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q9HBY8,"(-14.9379, 1.3163, -0.9332)",86.85615803814714,87.94638927097661,P21901,2.7.11.1,2,7,11,1,1648,612,1
AF_Q03ER0,"(2.9147, -0.3252, 5.7281)",92.8605637982196,92.79405791650996,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_A6TGG9,"(0.0661, 5.3382, 7.2263)",89.22928741092636,89.41295660036165,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_Q4VSI4,"(-28.3614, 2.3895, 2.0738)",86.56789664551223,86.81258964143427,Q6A4J8,3.4.19.12,3,4,19,12,2254,627,24
AF_A8H1Q0,"(3.2634, 6.1283, 2.7734)",97.64205741626796,97.68211037942928,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_O51555,"(-1.2046, 15.9986, -0.2882)",90.64797356828194,90.75111617923264,B5RMG0,5.2.1.8,5,2,1,8,3108,631,9
AF_Q01389,"(-8.9122, 2.8654, 3.6104)",51.29402571041949,51.938121862558425,Q01389,2.7.11.1,2,7,11,1,1648,641,1
AF_A2SR38,"(2.2967, -1.6473, -12.5353)",90.97545787545788,90.91448771441816,B8DZX8,6.5.1.1,6,5,1,1,3365,609,27
AF_Q8NG08,"(10.1136, 3.8987, -15.5745)",70.13687212511499,70.71355319394709,Q6NVF4,3.6.4.12,3,6,4,12,2641,644,0
AF_Q5AAG6,"(-4.9737, -5.5156, 5.0432)",78.51449901768173,79.1397830279653,Q00772,2.7.11.24,2,7,11,24,1663,658,28
AF_Q94BV4,"(-2.851, 7.3128, -1.61)",81.16543560606061,81.20173606210304,Q94BV4,3.6.4.13,3,6,4,13,2642,660,6
AF_Q6D844,"(8.7396, 0.039, -1.0524)",91.27985507246376,91.45458988881896,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_A8H6X1,"(-0.3569, 5.6104, 7.5592)",91.21504025764897,91.22604616998952,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_Q0I1M3,"(3.0467, 1.3034, 4.1927)",91.85492537313432,91.85214667685256,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_Q9Z7T4,"(-3.7514, -2.3387, -13.892)",86.01623188405797,86.2281970260223,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_B0JY77,"(-0.0508, -6.1081, -3.7128)",88.45499999999998,88.40944881889764,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_O28142,"(5.0201, 6.9022, -11.3861)",93.25415697674418,93.03419128508123,O28142,3.1.3.3,3,1,3,3,1969,689,29
AF_P66806,"(-1.5046, 4.3441, 1.8032)",96.9627570093458,96.87506329113924,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9FJI4,"(15.3141, -0.5838, -10.086)",84.5573037037037,84.62045316647706,O04534,2.7.11.1,2,7,11,1,1648,705,1
AF_Q21902,"(-21.3944, 6.7352, 24.7475)",76.45080368906456,76.90203722334005,Q9SF37,3.6.4.12,3,6,4,12,2641,717,0
AF_P14152,"(2.9862, 3.3588, 3.712)",96.81718562874252,96.82215204678364,B6IZN7,1.1.1.37,1,1,1,37,110,721,21
AF_A5DZE6,"(-5.8183, 11.824, -3.513)",73.66524096385542,75.12661418891989,A7TKR8,3.6.4.13,3,6,4,13,2642,730,6
AF_A1CPG7,"(8.6053, 7.1122, -4.6575)",87.04441095890411,87.62189088444596,O44408,2.7.11.24,2,7,11,24,1663,742,28
AF_Q4R945,"(-25.3875, 30.6028, -14.8225)",62.49667056074767,63.25096360689553,Q8AYG3,2.7.12.1,2,7,12,1,1670,757,13
AF_A1A1V0,"(-1.0925, 1.7049, 3.0442)",97.20817551963049,97.27551997560234,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q5FWR0,"(-15.1784, 10.9902, -2.4518)",67.34255234297109,68.14950807453415,Q5FWR0,3.6.4.12,3,6,4,12,2641,769,0
AF_A1VRC8,"(-10.2381, 1.1826, -4.0188)",97.82548309178743,97.81539511266264,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_C1AMN4,"(-12.0339, 6.7946, -5.4789)",96.99878419452888,97.07608533554266,B6IZN7,1.1.1.37,1,1,1,37,110,721,21
AF_Q6LNV9,"(29.2858, 17.2627, -2.4577)",89.02517321016165,89.18425089179549,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_Q5VN19,"(-7.4408, 18.3916, 4.1392)",68.10322807017543,68.96394158981116,Q9C5C0,2.7.11.24,2,7,11,24,1663,777,28
AF_Q5JLD8,"(-2.7236, 11.5304, 3.5628)",79.21307174887892,79.77027208976158,Q2RBF0,2.7.11.1,2,7,11,1,1648,782,1
AF_B1ZYH0,"(5.9846, -1.5954, 1.0993)",96.47044368600685,96.48582710280373,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_B1ZYH0,"(5.9846, -1.5954, 1.0993)",96.47044368600685,96.48582710280373,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_P22696,"(1.8975, -0.3489, -7.0963)",89.13147058823529,89.38278712509144,Q4R383,5.2.1.8,5,2,1,8,3108,787,9
AF_B2G6R3,"(-40.4615, -10.4526, -2.1015)",92.49621559633027,92.48726395790705,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_O48963,"(7.8483, 7.6231, -8.0562)",69.10256024096385,69.55299834415997,Q8LPD9,2.7.11.1,2,7,11,1,1648,794,1
AF_P58278,"(-15.8892, -0.1273, 5.6231)",93.69533653846152,93.78623536660506,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_Q96287,"(6.5413, -6.3591, -9.4812)",79.55654661016949,80.27823087248322,Q96287,2.7.11.1,2,7,11,1,1648,806,1
AF_O17670,"(-0.2525, -7.0261, -10.2237)",63.4517097415507,64.46579578015108,O17670,3.1.3.48,3,1,3,48,1978,816,30
AF_Q8PWA0,"(-10.853, -4.2749, 4.098)",93.61653631284916,93.79132173095012,O57963,6.1.1.6,6,1,1,6,3256,822,15
AF_Q9JYU6,"(9.2174, 1.6001, -10.0872)",94.26355864811131,94.3342439266237,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
AF_Q7N7B6,"(-2.2858, -0.4149, -6.4837)",95.34549857549858,95.11368980169972,A2RNH9,2.7.7.7,2,7,7,7,1763,28,2
AF_Q26548,"(9.3708, -5.1385, -1.3258)",84.17120879120878,83.85856549815497,Q26548,5.2.1.8,5,2,1,8,3108,833,9
AF_Q8DUN6,"(1.1541, 5.487, -9.7291)",94.79120833333334,95.05047422680413,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q48KZ8,"(-1.2385, -3.7321, -3.4541)",96.66535211267605,96.6724283701268,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q48KZ8,"(-1.2385, -3.7321, -3.4541)",96.66535211267605,96.6724283701268,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q3JKE9,"(-8.6343, 8.9581, -1.955)",97.20990825688074,97.17767668562144,B6IZN7,1.1.1.37,1,1,1,37,110,721,21
AF_Q6CT85,"(-11.1999, 2.0329, -3.2036)",82.76823408624232,82.80365167061301,Q0CNX1,3.6.4.13,3,6,4,13,2642,851,6
AF_A4J9B1,"(0.6783, 6.6653, 2.5088)",97.8041646489104,97.8096105129829,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q7M879,"(6.1021, -1.382, 3.5325)",91.4743880597015,91.4042964635064,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_P74646,"(-22.178, -7.4215, 7.156)",89.15115606936416,89.18790012180267,Q6L8J9,2.7.11.1,2,7,11,1,1648,853,1
AF_Q5GT34,"(-11.1289, 11.1131, 5.2526)",87.2976530612245,86.91238002594035,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_A9KLS3,"(6.4649, -0.6993, 0.8426)",96.35524822695037,96.29319457436856,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A9KLS3,"(6.4649, -0.6993, 0.8426)",96.35524822695037,96.29319457436856,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_Q9HQ29,"(2.8879, -9.1163, -13.3391)",96.47236170212764,96.50248924577,Q9HTD7,4.2.1.2,4,2,1,2,2870,876,31
AF_O81832,"(26.7065, -1.7113, -5.0106)",85.83329501915709,86.0675583626479,Q9SY95,2.7.11.1,2,7,11,1,1648,877,1
AF_Q6GFF2,"(8.742, 3.4484, -10.1096)",87.40819178082192,87.58234486266531,Q9CD72,3.6.4.12,3,6,4,12,2641,878,0
AF_Q47MU1,"(-9.5302, -2.0715, 10.3706)",87.80112311015118,88.06170058544744,Q8G5Q7,5.2.1.8,5,2,1,8,3108,879,9
AF_P34314,"(-5.0084, 0.9422, 5.2318)",64.3419274611399,65.66636909423127,P34314,2.7.11.1,2,7,11,1,1648,880,1
AF_B3R4L6,"(-3.3745, -1.3805, -5.5859)",96.77547703180213,96.79194947569114,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_B3R4L6,"(-3.3745, -1.3805, -5.5859)",96.77547703180213,96.79194947569114,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_O27456,"(-13.9733, -6.041, -4.9221)",91.7204356846473,91.8286501305483,O27456,2.7.7.7,2,7,7,7,1763,886,2
AF_P54646,"(-0.6198, 5.7241, 15.9196)",77.59255434782608,78.56936243144423,Q13131,2.7.11.1,2,7,11,1,1648,887,1
AF_C1KVP5,"(3.0266, 5.8418, -7.9804)",92.65389021479712,92.87039022937148,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_Q80YE4,"(-7.3204, 5.3716, -12.123)",48.12309157509158,49.3146933359544,Q3TYD6,2.7.11.1,2,7,11,1,1648,898,1
AF_A8XGS6,"(2.4385, 5.9573, -9.9824)",94.31319298245612,94.450840606339,A1RXU2,2.4.2.28,2,4,2,28,1379,902,32
AF_P0C2J3,"(-5.2055, -29.2646, -26.9328)",65.98841242937853,66.55252018818902,Q12337,2.7.7.7,2,7,7,7,1763,905,2
AF_A2RC05,"(3.9074, -2.4122, 4.7944)",91.69087349397591,91.7982290481608,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_A9SY39,"(-8.6634, 4.2855, 6.2064)",53.21432147562582,53.73577375874424,A9SY39,2.7.11.25,2,7,11,25,1664,906,33
AF_Q04ZF5,"(-1.4056, -0.3825, -4.2066)",98.04737349397593,98.02260390428212,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9M9S4,"(1.477, 1.702, 5.0611)",79.65811813186814,79.78400746401279,C0LGJ9,2.7.11.1,2,7,11,1,1648,922,1
AF_B9L1L6,"(-5.0696, 3.7917, 5.9903)",91.93085850556436,91.69581198347107,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_B9ISD5,"(-9.2419, -1.1348, 11.1042)",80.623375,80.5960125588697,C1L1G4,2.7.11.1,2,7,11,1,1648,161,1
AF_Q5X2T6,"(3.1225, 3.0294, 7.5339)",96.77133333333332,96.81054257425744,B6IZN7,1.1.1.37,1,1,1,37,110,721,21
AF_A8H615,"(4.3108, 26.9211, -24.5026)",89.83587557603686,89.94207846660676,B4SLN0,5.2.1.8,5,2,1,8,3108,775,9
AF_A4G2T7,"(6.5699, 8.4868, -6.3343)",96.31451612903226,96.44184074457084,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q8ZC45,"(7.0901, -1.8204, -3.4348)",91.87673667205168,92.01432148116976,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_P96050,"(1.6444, 4.5438, -1.1979)",96.61429577464789,96.63795992714026,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_P96050,"(1.6444, 4.5438, -1.1979)",96.61429577464789,96.63795992714026,B4U8W9,1.5.1.5,1,5,1,5,767,294,16
AF_A7GGI2,"(0.145, 7.1778, 3.0002)",97.8459564164649,97.8590027615833,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q87J85,"(-2.9248, 7.548, 5.9501)",93.34093078758951,93.51618192881044,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_A8FLE2,"(7.0284, 10.0846, -5.8955)",95.58491452991451,95.62631138975966,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q253I4,"(2.1296, -2.4787, 3.4108)",94.2021931589537,94.22952468487397,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q891D3,"(-2.6595, -5.5032, 1.8198)",92.1314742014742,92.35109012078044,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_Q0SMQ5,"(-2.9836, 1.6521, -4.4457)",97.649448441247,97.64526785714288,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q27908,"(-5.6459, 0.3646, -9.2036)",71.8168456375839,73.31156984981583,Q27908,4.2.1.1,4,2,1,1,2818,982,34
AF_Q3AAN0,"(-5.9829, 4.7837, 4.421)",92.01620578778136,91.99123621227888,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_Q4P0V4,"(5.7316, 4.3133, 2.8735)",94.35997487437186,94.53923452768728,Q6BXZ7,5.2.1.8,5,2,1,8,3108,992,9
AF_Q971T7,"(12.5914, -3.598, -21.6371)",87.51221453287197,87.68537792570325,Q8R979,3.6.4.12,3,6,4,12,2641,993,0
AF_Q971T7,"(12.5914, -3.598, -21.6371)",87.51221453287197,87.68537792570325,Q8R979,3.6.4.12,3,6,4,12,2641,993,0
AF_P0C0M7,"(2.8503, -1.6881, -17.0257)",78.58220125786163,78.35879173290938,C1L1G4,2.7.11.1,2,7,11,1,1648,161,1
AF_Q09WZ2,"(5.2249, 3.2337, -11.1607)",93.17867346938772,93.06042773817238,Q6L377,3.4.21.92,3,4,21,92,2314,576,11
AF_Q5XIT0,"(-8.7376, 3.8991, 8.7247)",68.24534516765286,69.31955383848455,Q4R7T5,2.7.11.22,2,7,11,22,1660,1004,35
AF_A8F755,"(15.0712, 12.7279, -8.8379)",92.8012962962963,92.8448055944056,A8F755,5.2.1.8,5,2,1,8,3108,1005,9
AF_Q7U9W7,"(4.0118, -3.5764, 2.886)",88.72497126436781,89.12802715956244,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_I1Z695,"(-1.8192, -0.2943, 18.9008)",84.60247464503043,84.85255386649042,P47735,2.7.11.1,2,7,11,1,1648,1013,1
AF_O25029,"(3.0052, 1.6698, 0.8872)",83.34888211382115,83.24828622358035,Q5HME0,3.6.4.13,3,6,4,13,2642,1019,6
AF_C1DEQ3,"(3.5865, 0.9081, 4.9616)",97.6978896882494,97.68929665520471,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_Q9LFN6,"(-0.6527, -5.7522, -5.6622)",85.11491803278686,85.35953364817,Q8SR63,3.6.4.13,3,6,4,13,2642,453,6
AF_Q8K9M3,"(7.1861, 1.1543, -9.0342)",95.39334719334718,95.36878459034185,P73534,2.7.1.40,2,7,1,40,1614,1034,8
AF_Q54RF5,"(12.0624, 1.3226, -5.6304)",93.99074950690334,94.0145100077983,P70789,2.7.1.40,2,7,1,40,1614,142,8
AF_B5QTH0,"(0.1843, 5.4675, 7.7476)",91.4988870967742,91.64182163187856,Q5WF63,2.2.1.7,2,2,1,7,1104,311,17
AF_Q9PH37,"(5.678, -1.8133, -6.7768)",92.98892720306512,93.1405558240696,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q9CQW2,"(7.9819, -8.1442, -1.5482)",92.48263440860217,92.1622582781457,Q9CQW2,3.6.5.2,3,6,5,2,2650,1048,25
AF_A8L1X3,"(29.5195, 20.4079, -4.9335)",83.8260946745562,84.63295749092794,Q8G5Q7,5.2.1.8,5,2,1,8,3108,879,9
AF_Q9NVJ2,"(7.8928, -8.7058, -2.0108)",91.63811827956992,91.3243046357616,Q9CQW2,3.6.5.2,3,6,5,2,2650,1048,25
AF_Q93009,"(-5.4432, -8.232, 25.6809)",86.18004537205081,86.43655367231639,Q6A4J8,3.4.19.12,3,4,19,12,2254,627,24
AF_Q10MH8,"(-5.5243, 9.4473, -1.3175)",70.36397402597402,71.39548348451139,Q10MH8,3.6.4.13,3,6,4,13,2642,1064,6
AF_A6UDW8,"(-19.6429, -15.6246, 15.8381)",86.57692652329749,86.792184730743,Q0A9G3,2.7.7.7,2,7,7,7,1763,1068,2
AF_B7LUW6,"(3.697, 9.6605, -8.9966)",95.1218431372549,95.30264867566216,B2V6N2,2.1.1.228,2,1,1,228,989,238,14
AF_Q97CR6,"(8.6998, -18.8451, -21.838)",92.17940257352942,92.29315856777497,Q8TUV3,2.7.7.7,2,7,7,7,1763,1075,2
AF_P0ABT1,"(-5.4828, 3.9315, -17.697)",72.90631578947368,72.74718649517685,P0ABT0,2.7.7.7,2,7,7,7,1763,1077,2
AF_A1W0X9,"(2.5641, -5.4347, -0.4466)",91.41746268656716,91.12203964925658,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_Q6ZI44,"(-2.548, 2.3319, -12.3961)",78.00671232876712,78.62318692543413,Q7XKA8,2.7.11.1,2,7,11,1,1648,1079,1
AF_B8CU98,"(8.257, 0.6589, -10.8857)",94.52106,94.5966833291677,Q03Z44,6.1.1.6,6,1,1,6,3256,260,15
